Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Perform code review,ECSA-51,10050,Sub-task,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:55,07-09-2024 12:05,07-09-2024 12:36,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,06-09-2024 13:55
Fix bugs,ECSA-50,10049,Sub-task,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:55,07-09-2024 12:05,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,06-09-2024 13:55
Run acceptance tests,ECSA-49,10048,Sub-task,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:55,07-09-2024 12:05,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,06-09-2024 13:55
Write unit tests and code for cart mobile service,ECSA-48,10047,Sub-task,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:55,07-09-2024 12:05,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,06-09-2024 13:55
Write and review acceptance tests,ECSA-47,10046,Sub-task,To Do,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:55,07-09-2024 12:05,07-09-2024 12:40,,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,,10009,"As a customer, I want to update the number of items in my cart, so that I can adjust what I am buying.",To Do,06-09-2024 13:55
Run acceptance tests,ECSA-46,10045,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:53,07-09-2024 12:24,07-09-2024 12:40,07-09-2024 12:24,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009n:,,,ECSA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_10204_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81056069_*|*_10005_*:*_1_*:*_9644,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:24
Write unit tests and code for back end,ECSA-45,10044,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:24,07-09-2024 12:40,07-09-2024 12:24,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,ECSA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_27901_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81056564,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:24
Write unit tests and code for front end,ECSA-44,10043,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:24,07-09-2024 12:40,07-09-2024 12:24,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,ECSA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_14375_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81063749_*|*_10005_*:*_1_*:*_11221,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:24
Create user interface layout,ECSA-43,10042,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:24,07-09-2024 12:40,07-09-2024 12:24,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009f:,,,ECSA Sprint 1,,,,,,,,,,,3_*:*_1_*:*_26952_*|*_10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81070817_*|*_10005_*:*_1_*:*_9229,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:24
Write acceptance tests and review,ECSA-42,10041,Sub-task,Done,ECSA,E-Commerce Shopping App,software,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,Medium,Done,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,06-09-2024 13:52,07-09-2024 12:23,07-09-2024 12:40,07-09-2024 12:23,version 1,,,0,,,,Ishaan Bhugra,712020:8d4a92da-d641-4766-977a-11f42864e075,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,ECSA Sprint 1,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_81047074,10007,"As a customer, I want to check out the items from my shopping cart, so that I can pay for my selected items",Done,07-09-2024 12:23
